number,educ,gender,idnumber,jobcat,logsal,logsalbegin,minority,salary,salbegin
465,12,1,465,1,10.43117029,9.71111566,0,33900,16500
466,12,0,466,1,10.0604913,9.510444964,0,23400,13500
467,16,0,467,1,10.39970702,9.878169745,0,32850,19500
468,16,0,468,3,10.92863269,9.902487052,0,55750,19980
469,15,0,469,1,10.13459927,9.543234787,0,25200,13950
470,12,1,470,1,10.17542127,9.664595644,1,26250,15750
471,15,1,471,1,10.18111929,9.664595644,1,26400,15750
472,15,1,472,1,10.5751557,9.664595644,0,39150,15750
473,12,0,473,1,9.973479924,9.453286551,0,21450,12750
474,12,0,474,1,10.28874995,9.564512186,0,29400,14250
